name,jurisdiction_type,lat,lon,source
Tulare,city,36.200246,-119.339775,census_gazetteer_2024
Tulelake,city,41.95346,-121.474897,census_gazetteer_2024
Turlock,city,37.505524,-120.859269,census_gazetteer_2024
Tustin,city,33.73092,-117.810599,census_gazetteer_2024
Twentynine Palms,city,34.147817,-116.065959,census_gazetteer_2024
Ukiah,city,39.147519,-123.204903,census_gazetteer_2024
Union City,city,37.602759,-122.01884,census_gazetteer_2024
Upland,city,34.116073,-117.659922,census_gazetteer_2024
Vacaville,city,38.358621,-121.968601,census_gazetteer_2024
Vallejo,city,38.106909,-122.262339,census_gazetteer_2024
Vernon,city,34.001123,-118.210869,census_gazetteer_2024
Victorville,city,34.527735,-117.353579,census_gazetteer_2024
Villa Park,city,33.817985,-117.811293,census_gazetteer_2024
Visalia,city,36.32803,-119.328519,census_gazetteer_2024
Vista,city,33.189528,-117.238582,census_gazetteer_2024
Walnut,city,34.037195,-117.855606,census_gazetteer_2024
Walnut Creek,city,37.902666,-122.040479,census_gazetteer_2024
Wasco,city,35.593785,-119.367101,census_gazetteer_2024
Waterford,city,37.642685,-120.754152,census_gazetteer_2024
Watsonville,city,36.923587,-121.772395,census_gazetteer_2024
Weed,city,41.412087,-122.380966,census_gazetteer_2024
West Covina,city,34.055941,-117.909937,census_gazetteer_2024
West Hollywood,city,34.088268,-118.371831,census_gazetteer_2024
West Sacramento,city,38.554368,-121.548663,census_gazetteer_2024
Westlake Village,city,34.136675,-118.817367,census_gazetteer_2024
Westminster,city,33.752292,-117.993868,census_gazetteer_2024
Westmorland,city,33.038996,-115.622441,census_gazetteer_2024
Wheatland,city,39.031163,-121.389996,census_gazetteer_2024
Whittier,city,33.966827,-118.020122,census_gazetteer_2024
Wildomar,city,33.617278,-117.258312,census_gazetteer_2024
Williams,city,39.14978,-122.138968,census_gazetteer_2024
Willits,city,39.405006,-123.348889,census_gazetteer_2024
Willows,city,39.514752,-122.199178,census_gazetteer_2024
Windsor,city,38.542099,-122.808613,census_gazetteer_2024
Winters,city,38.533271,-121.975473,census_gazetteer_2024
Woodlake,city,36.412828,-119.100718,census_gazetteer_2024
Woodland,city,38.67116,-121.750043,census_gazetteer_2024
Woodside,city,37.42215,-122.258593,census_gazetteer_2024
Yorba Linda,city,33.889038,-117.77207,census_gazetteer_2024
Yountville,city,38.393512,-122.365536,census_gazetteer_2024
Yreka,city,41.724032,-122.63157,census_gazetteer_2024
Yuba City,city,39.129842,-121.641549,census_gazetteer_2024
Yucaipa,city,34.033582,-117.042898,census_gazetteer_2024
Yucca Valley,city,34.123347,-116.421557,census_gazetteer_2024
Alameda County,county,37.65,-121.88,county_centroid
Alpine County,county,38.6,-119.82,county_centroid
Amador County,county,38.45,-120.65,county_centroid
Butte County,county,39.67,-121.6,county_centroid
Calaveras County,county,38.2,-120.55,county_centroid
Colusa County,county,39.18,-122.24,county_centroid
Contra Costa County,county,37.92,-121.93,county_centroid
Del Norte County,county,41.74,-123.9,county_centroid
El Dorado County,county,38.78,-120.52,county_centroid
Fresno County,county,36.98,-119.65,county_centroid
Glenn County,county,39.6,-122.39,county_centroid
Humboldt County,county,40.7,-123.87,county_centroid
Imperial County,county,33.04,-115.36,county_centroid
Inyo County,county,36.51,-117.41,county_centroid
Kern County,county,35.34,-118.73,county_centroid
Kings County,county,36.08,-119.82,county_centroid
Lake County,county,39.1,-122.75,county_centroid
Lassen County,county,40.67,-120.59,county_centroid
Los Angeles County,county,34.32,-118.22,county_centroid
Madera County,county,37.22,-119.76,county_centroid
Marin County,county,38.07,-122.74,county_centroid
Mariposa County,county,37.57,-119.9,county_centroid
Mendocino County,county,39.44,-123.39,county_centroid
Merced County,county,37.19,-120.72,county_centroid
Modoc County,county,41.59,-120.72,county_centroid
Mono County,county,37.94,-118.89,county_centroid
Monterey County,county,36.24,-121.31,county_centroid
Napa County,county,38.51,-122.33,county_centroid
Nevada County,county,39.3,-120.77,county_centroid
Orange County,county,33.7,-117.76,county_centroid
Placer County,county,39.06,-120.72,county_centroid
Plumas County,county,40.0,-120.84,county_centroid
Riverside County,county,33.74,-116.0,county_centroid
Sacramento County,county,38.45,-121.34,county_centroid
San Benito County,county,36.61,-121.08,county_centroid
San Bernardino County,county,34.84,-116.18,county_centroid
San Diego County,county,33.03,-116.74,county_centroid
San Francisco County,county,37.76,-122.45,county_centroid
